KAN_U

 ======== test get_l2 ========= 

2026-02-10 16:02:12,762; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-12-25 00:00:00 2013-12-27 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,765; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2013-12-25 00:00:00 2013-12-27 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,768; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-01-04 00:00:00 2014-01-06 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,771; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-01-04 00:00:00 2014-01-06 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,774; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-01-04 00:00:00 2014-01-06 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,777; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-01-04 00:00:00 2014-01-06 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,781; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-25 00:00:00 2014-10-27 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,784; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-25 00:00:00 2014-10-27 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,786; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-25 00:00:00 2014-10-27 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,789; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-10-25 00:00:00 2014-10-27 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,793; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-28 00:00:00 2014-12-05 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,796; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-28 00:00:00 2014-12-05 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,799; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-28 00:00:00 2014-12-05 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,802; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-11-28 00:00:00 2014-12-05 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,807; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-08 00:00:00 2014-12-12 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,810; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-08 00:00:00 2014-12-12 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,813; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-08 00:00:00 2014-12-12 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,816; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-08 00:00:00 2014-12-12 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,821; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-17 00:00:00 2014-12-20 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,824; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-17 00:00:00 2014-12-20 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,827; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-17 00:00:00 2014-12-20 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,830; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2014-12-17 00:00:00 2014-12-20 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,834; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-06 00:00:00 2015-01-11 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,837; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-06 00:00:00 2015-01-11 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,840; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-06 00:00:00 2015-01-11 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,842; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-06 00:00:00 2015-01-11 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,846; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-25 00:00:00 2015-01-27 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,849; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-25 00:00:00 2015-01-27 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,852; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-25 00:00:00 2015-01-27 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,855; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-01-25 00:00:00 2015-01-27 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,859; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-11 00:00:00 2015-02-13 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,862; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-11 00:00:00 2015-02-13 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,864; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-11 00:00:00 2015-02-13 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,867; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-02-11 00:00:00 2015-02-13 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,871; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-26 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,874; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-26 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,877; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-26 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,880; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-01-24 00:00:00 2016-01-26 00:00:00 usr with RIME, flagged 0/14661
2026-02-10 16:02:12,883; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-26 00:00:00 2016-10-31 00:00:00 dlr with RIME, flagged 0/14661
2026-02-10 16:02:12,886; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-26 00:00:00 2016-10-31 00:00:00 ulr with RIME, flagged 0/14661
2026-02-10 16:02:12,889; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-26 00:00:00 2016-10-31 00:00:00 dsr with RIME, flagged 0/14661
2026-02-10 16:02:12,892; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-10-26 00:00:00 2016-10-31 00:00:00 usr with RIME, flagged 0/14661
