LYN_T

 ======== test get_l2 ========= 

2026-02-10 16:10:56,567; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/LYN_T.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:11:01,704; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 rh_i with NAN, flagged 597/12720
2026-02-10 16:11:01,708; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 t_i with NAN, flagged 597/12720
2026-02-10 16:11:01,712; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 wspd_i with NAN, flagged 597/12720
2026-02-10 16:11:01,716; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 wdir_i with NAN, flagged 597/12720
2026-02-10 16:11:01,721; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 p_i with NAN, flagged 597/12720
2026-02-10 16:11:01,725; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 dsr with NAN, flagged 597/12720
2026-02-10 16:11:01,729; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 usr with NAN, flagged 597/12720
2026-02-10 16:11:01,733; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 dlr with NAN, flagged 597/12720
2026-02-10 16:11:01,737; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 ulr with NAN, flagged 597/12720
2026-02-10 16:11:01,741; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-12-15 00:00:00 2024-04-19 11:00:00 z_boom_u with NAN, flagged 597/12720
2026-02-10 16:11:01,999; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_T.csv
2026-02-10 16:11:02,008; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 2.8 flagged 7/12720
2026-02-10 16:11:03,230; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:11:03,613; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:11:03,700; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:11:05,693; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/LYN_T/LYN_T_hour.csv
2026-02-10 16:11:05,693; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/LYN_T/LYN_T_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:11:06,891; INFO; pypromice.pipeline.join_l2; LYN_T array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/LYN_T/LYN_T_hour.nc
2026-02-10 16:11:06,891; INFO; pypromice.pipeline.join_l2; Only one file found /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/LYN_T/LYN_T_hour.nc...
2026-02-10 16:11:06,998; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:11:09,294; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/LYN_T/LYN_T_hour.csv
2026-02-10 16:11:09,294; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/LYN_T/LYN_T_hour.nc
2026-02-10 16:11:09,294; INFO; pypromice.pipeline.join_l2; Files saved to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/LYN_T...

 ======== test l2tol3 ========= 

2026-02-10 16:11:09,573; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2026-02-10 16:11:11,712; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2026-02-10 16:11:11,716; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2026-02-10 16:11:11,718; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2026-02-10 16:11:11,742; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_T.csv
