SCO_Lv3

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_Lv3.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:25,584; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:37:28,071; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/SCO_Lv3/SCO_Lv3_10min.csv
2026-02-10 16:37:28,071; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/SCO_Lv3/SCO_Lv3_10min.nc
2026-02-10 16:37:28,131; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:37:28,516; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:37:28,620; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:37:32,060; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/SCO_Lv3/SCO_Lv3_hour.csv
2026-02-10 16:37:32,060; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/SCO_Lv3/SCO_Lv3_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:37:33,287; INFO; pypromice.pipeline.join_l2; SCO_Lv3 array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/SCO_Lv3/SCO_Lv3_hour.nc
2026-02-10 16:37:33,537; INFO; pypromice.pipeline.join_l2; SCO_Lv3 array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SCO_Lv3/SCO_Lv3_hour.nc
2026-02-10 16:37:33,538; INFO; pypromice.pipeline.join_l2; Combining /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/SCO_Lv3/SCO_Lv3_hour.nc with /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/SCO_Lv3/SCO_Lv3_hour.nc...
2026-02-10 16:37:33,687; INFO; pypromice.io.write; Writing to files...
