EGP

 ======== test get_l2 ========= 

2026-02-10 15:49:06,092; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-26 00:00:00 2016-12-22 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,095; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-11-26 00:00:00 2016-12-22 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,099; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-25 00:00:00 2016-12-28 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,102; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-25 00:00:00 2016-12-28 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,105; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-25 00:00:00 2016-12-28 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,108; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2016-12-25 00:00:00 2016-12-28 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,112; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-05 00:00:00 2017-01-15 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,115; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-05 00:00:00 2017-01-15 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,118; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-05 00:00:00 2017-01-15 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,121; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-05 00:00:00 2017-01-15 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,125; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-20 00:00:00 2017-02-26 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,128; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-20 00:00:00 2017-02-26 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,132; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-20 00:00:00 2017-02-26 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,135; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-01-20 00:00:00 2017-02-26 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,139; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-12 00:00:00 2017-09-14 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,142; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-12 00:00:00 2017-09-14 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,145; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-12 00:00:00 2017-09-14 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,148; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-12 00:00:00 2017-09-14 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,152; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-21 00:00:00 2017-09-24 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,155; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-21 00:00:00 2017-09-24 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,158; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-21 00:00:00 2017-09-24 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,161; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-09-21 00:00:00 2017-09-24 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,165; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-24 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,168; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-24 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,172; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-24 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,175; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-10 00:00:00 2017-10-24 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,179; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-27 00:00:00 2017-12-22 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,182; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-27 00:00:00 2017-12-22 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,185; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-27 00:00:00 2017-12-22 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,188; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-10-27 00:00:00 2017-12-22 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,192; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-27 00:00:00 2018-01-15 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,195; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-27 00:00:00 2018-01-15 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,198; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-27 00:00:00 2018-01-15 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,201; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2017-12-27 00:00:00 2018-01-15 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,205; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-20 00:00:00 2018-02-08 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,209; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-20 00:00:00 2018-02-08 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,212; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-20 00:00:00 2018-02-08 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,215; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-01-20 00:00:00 2018-02-08 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,219; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-02-13 00:00:00 2018-02-22 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,222; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-02-13 00:00:00 2018-02-22 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,225; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-02-13 00:00:00 2018-02-22 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,229; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-02-13 00:00:00 2018-02-22 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,232; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-11 00:00:00 2018-09-13 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,235; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-11 00:00:00 2018-09-13 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,239; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-11 00:00:00 2018-09-13 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,242; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-09-11 00:00:00 2018-09-13 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,246; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-05 00:00:00 2018-10-21 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,249; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-05 00:00:00 2018-10-21 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,252; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-05 00:00:00 2018-10-21 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,255; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-05 00:00:00 2018-10-21 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,259; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-24 00:00:00 2018-10-27 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,262; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-24 00:00:00 2018-10-27 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,265; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-24 00:00:00 2018-10-27 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,269; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-24 00:00:00 2018-10-27 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,273; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-30 00:00:00 2018-11-17 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,276; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-30 00:00:00 2018-11-17 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,279; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-30 00:00:00 2018-11-17 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,282; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-10-30 00:00:00 2018-11-17 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,286; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-11-24 00:00:00 2018-11-28 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,289; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-11-24 00:00:00 2018-11-28 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,292; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-11-24 00:00:00 2018-11-28 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,295; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-11-24 00:00:00 2018-11-28 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,299; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2019-01-09 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,302; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2019-01-09 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,306; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2019-01-09 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,309; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2018-12-03 00:00:00 2019-01-09 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,313; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-01-22 00:00:00 2019-04-04 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,316; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-01-22 00:00:00 2019-04-04 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,319; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-01-22 00:00:00 2019-04-04 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,322; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-01-22 00:00:00 2019-04-04 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,326; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-11 00:00:00 2019-10-18 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,329; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-11 00:00:00 2019-10-18 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,333; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-11 00:00:00 2019-10-18 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,336; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-11 00:00:00 2019-10-18 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,340; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-11-15 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,343; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-11-15 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,346; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-11-15 00:00:00 dsr with RIME, flagged 0/17844
2026-02-10 15:49:06,349; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-10-28 00:00:00 2019-11-15 00:00:00 usr with RIME, flagged 0/17844
2026-02-10 15:49:06,353; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-11-19 00:00:00 2019-11-28 00:00:00 dlr with RIME, flagged 0/17844
2026-02-10 15:49:06,356; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-11-19 00:00:00 2019-11-28 00:00:00 ulr with RIME, flagged 0/17844
2026-02-10 15:49:06,360; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2019-11-19 00:00:00 2019-11-28 00:00:00 dsr with RIME, flagged 0/17844
