SCO_U

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_U.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:03,721; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2015-09-23 00:00:00 2016-06-29 00:00:00 z_stake with NAN, flagged 0/9378
2026-02-10 16:37:03,726; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-06-22 00:00:00 2022-09-08 00:00:00 z_stake with NAN, flagged 37/9378
2026-02-10 16:37:03,942; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SCO_U.csv
2026-02-10 16:37:03,960; DEBUG; pypromice.core.qc.github_data_issues; ---> None None p_u min_filter 750.0 flagged 0/9378
2026-02-10 16:37:03,965; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,969; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,974; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,979; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_4 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,983; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_5 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,988; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_6 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,993; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_7 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:03,998; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_8 min_filter -30.0 flagged 0/9378
2026-02-10 16:37:04,003; DEBUG; pypromice.core.qc.github_data_issues; ---> None None z_boom_cor_u max_filter 2.8 flagged 7/9378
